property_name,property_address,latitude,longitude,OpenStreetMap_address,property_price,property_description,tipe_property,certificate,dilengkapi_perabotan,kondisi_properti,jalur_telepon,jumlah_lantai,daya_listrik,tanggal_tayang,luas_bangunan,luas_tanah,kamar_tidur,kamar_mandi,garasi_mobil
Eagle Tree,"Serpong, Tangerang Selatan ",-6.3131287,106.68073925095902,"Serpong, Tangerang Selatan, Banten, Indonesia",Rp. 890.000.000,"*CLUSTER ALANA GARDEN*

*Akses terbaik dengan fasilitas terdekat*
*Akses Jalan
- 3 menit jalan utama
- 10 menit Pintu Tol BSD 
- 10 menit Stasiun Kereta Api Rawabuntu 

* Rekreasi 
- Damai Indah Golf
- Ocean Park BSD

* Edukasi
- Prasetiya Mulya Business School
- Swiss German University
- Global Islamic School
- Al-azhar BSD
- Al-azhar Pamulang
- Santa Ursula BSD
- Unpam (Universitas Pamulang)

* Komersil
- ITC BSD / CARREFOUR
- Giant BSD
- Teras Kota
- The Breeze
- Living World Mall
- Summarecon Mall Serpong
- Pasar Modern BSD 
- Bintaro Jaya Xchange
- Pamulang Square

* Hospital
- RS. Eka Hosital
- RS. Hermina Serpong
- RS. Buah Hati
- RS. Ibu dan Anak
- RS. Sari Asih
- RS. RSUD Tangsel

More info:
Candra
087780061353",Rumah,,,,1,,2200,08 Jan 2021, 60 m², 60 m²,3,2,
Eagle Tree,"BSD, Tangerang ",-6.2820168,106.6681494,"BSD, Jalan Letnan Sutopo, BSD City, Serpong Utara, Tangerang Selatan, Banten, 15330, Indonesia",Rp. 890.000.000,"*CLUSTER ALANA GARDEN SERPONG*

*Akses terbaik dengan fasilitas terdekat*
*Akses Jalan
- 3 menit jalan utama
- 10 menit Pintu Tol BSD 
- 10 menit Stasiun Kereta Api Rawabuntu 

* Rekreasi 
- Damai Indah Golf
- Ocean Park BSD

* Edukasi
- Prasetiya Mulya Business School
- Swiss German University
- Global Islamic School
- Al-azhar BSD
- Al-azhar Pamulang
- Santa Ursula BSD
- Unpam (Universitas Pamulang)

* Komersil
- ITC BSD / CARREFOUR
- Giant BSD
- Teras Kota
- The Breeze
- Living World Mall
- Summarecon Mall Serpong
- Pasar Modern BSD 
- Bintaro Jaya Xchange
- Pamulang Square

* Hospital
- RS. Eka Hosital
- RS. Hermina Serpong
- RS. Buah Hati
- RS. Ibu dan Anak
- RS. Sari Asih
- RS. RSUD Tangsel

More info:
Candra
087780061353",Rumah,,,,,,,07 Jan 2021, 60 m², 60 m²,3,2,
Eagle Tree,"Serpong, Tangerang Selatan ",-6.3131287,106.68073925095902,"Serpong, Tangerang Selatan, Banten, Indonesia",Rp. 890.000.000,"

Rumah minimalis 2 lantai, yg berlokasi di Tangerang Selatan kawasan yg sedang berkembang pesat, akses dekat tol bsd dan stasiun kereta commuter line rawabuntu, lingkungan perumahan masih asri dan bebas banjir.


Fasilitas Sekitar :
AEON Mall BSD City
ICE BSD City
Breeze BSD
GIANT BSD, ITC BSD
Eka Hospital
Prasetya Mulia Building
SWISS GERMAN UNIVERSITY
Sekolah Santa Ursula
Stasiun Kereta Rawabuntu
Akses TOL BSD
Living World
ITI
SMAN1 SERPONG
Global Islamic School
Universitas Pamulang & Al-Azhar
SMA/SMP Stella Maris

*Sofyan
0878-7837-2925",Rumah,SHM - Sertifikat Hak Milik,,Baru,,2,2200,17 Dec 2020, 65 m², 60 m²,2,2,1
Independent Property Agent,"Ciputat Timur, Tangerang Selatan ",-6.2979529,106.75758240268806,"Ciputat Timur, Tangerang Selatan, Banten, Indonesia",Rp. 468.000.000,"Spesifikasi bangunan : Pondasi : cakar ayam Double dinding : hebel, plester, aci, cat Genteng : flat beton Rangka atap : baja ringan Plafon : gypsum Lantai : granit Kusen : alumunium Pintu : kayu panel Sanitasi : closet duduk + shower Air : sumur bor + pompa listrik + toren air Lokasi grade invesment : 20 menit ke stasiun rawabuntu 20 menit ke BSD pasar modern dan intermoda 15 menit ke unpam 20 menit ke halte transjakarta BSD 15 menit ke RSUD Pamulang 17 menit akses tol simatupang jor luar kota",Rumah,SHM - Sertifikat Hak Milik,,,,,1300,30 Dec 2020, 50 m², 78 m²,2,1,
Independent Property Agent,"Ciputat, Tangerang Selatan ",-6.31107785,106.71841089195783,"Ciputat, Tangerang Selatan, Banten, Indonesia",Rp. 460.000.000,"Spesifikasi bangunan :
Pondasi : cakar ayam
Double dinding : hebel, plester, aci, cat
Genteng : flat beton
Rangka atap : baja ringan
Plafon : gypsum
Lantai : granit
Kusen : alumunium
Pintu : kayu panel
Sanitasi : closet duduk + shower
Air : sumur bor + pompa listrik + toren air

Lokasi grade invesment :
20 menit ke stasiun rawabuntu
20 menit ke BSD pasar modern dan intermoda
15 menit ke unpam 
20 menit ke halte transjakarta BSD
15 menit ke RSUD Pamulang
17 menit akses tol simatupang jor luar kota",Rumah,SHM - Sertifikat Hak Milik,,,,,1300,30 Dec 2020, 50 m², 78 m²,2,1,
Independent Property Agent,"Pondok Benda, Tangerang ",-6.3444754,106.7145069,"Pondok Benda, Tangerang Selatan, Banten, 15434, Indonesia",Rp. 461.000.000,"Spesifikasi bangunan :
Pondasi : cakar ayam
Double dinding : hebel, plester, aci, cat
Genteng : flat beton
Rangka atap : baja ringan
Plafon : gypsum
Lantai : granit
Kusen : alumunium
Pintu : kayu panel
Sanitasi : closet duduk + shower
Air : sumur bor + pompa listrik + toren air

Lokasi grade invesment :
20 menit ke stasiun rawabuntu
20 menit ke BSD pasar modern dan intermoda
15 menit ke unpam 
20 menit ke halte transjakarta BSD
15 menit ke RSUD Pamulang
17 menit akses tol simatupang jor luar kota",Rumah,SHM - Sertifikat Hak Milik,,,,,1300,30 Dec 2020, 50 m², 78 m²,2,1,
Independent Property Agent,"BSD, Tangerang ",-6.2820168,106.6681494,"BSD, Jalan Letnan Sutopo, BSD City, Serpong Utara, Tangerang Selatan, Banten, 15330, Indonesia",Rp. 1.480.000.000,"Hummingbird House, 
Total ada 62 unit. 
Terbagi 2 type:
- LT7x11m2 , LB130m2
- LT7x13m2, LB140m2
Kamar 3+2, semua kamar ada kamar mandi didalamnya.
Ada semi basement dan semi mezanin.

Fasilitas lengkap:
- Swimming pool
- Fitness center
- Kids Playground
- Mini Library

Berkonsep Smarthome, yaitu
- untuk pintu utama sudah smartlock dan ada sensor getar, jadi ketika orang mengetuk pintu akan ada sensor getar, plus ada cctv, jadi kita bisa mengecek siapa yang datang. Jadi kalau tamu itu keluarga, kita tinggal kirim kode rumah utk dia bisa masuk.
- Untuk Ac bisa dihidup atau dimatiin dari hp, jadi ketika kita akan pulang baik dari kerja atau liburan, kita bisa hidupkan dulu di jalan, ketika sampai rumah, rumahnya sudah sejuk.

Row jalan 6m. 
Lokasi cuma 5 menit dari exit tol Bsd dan stasiun rawabuntu.

Untuk info lebih lanjut kontek saya by phone atau wa ya :)",Rumah,HGB - Hak Guna Bangun,,Baru,1,2,2200,30 Dec 2020, 130 m², 77 m²,4,3,1
Eagle Tree,"BSD City, Tangerang ",-6.30213665,106.64397834988091,"BSD City, Pagedangan, Tangerang, Banten, Indonesia",Rp. 890.000.000,"*CLUSTER ALANA GARDEN SERPONG*

*Akses terbaik dengan fasilitas terdekat*
*Akses Jalan
- 3 menit jalan utama
- 10 menit Pintu Tol BSD 
- 10 menit Stasiun Kereta Api Rawabuntu 

* Rekreasi 
- Damai Indah Golf
- Ocean Park BSD

* Edukasi
- Prasetiya Mulya Business School
- Swiss German University
- Global Islamic School
- Al-azhar BSD
- Al-azhar Pamulang
- Santa Ursula BSD
- Unpam (Universitas Pamulang)

* Komersil
- ITC BSD / CARREFOUR
- Giant BSD
- Teras Kota
- The Breeze
- Living World Mall
- Summarecon Mall Serpong
- Pasar Modern BSD 
- Bintaro Jaya Xchange
- Pamulang Square

* Hospital
- RS. Eka Hosital
- RS. Hermina Serpong
- RS. Buah Hati
- RS. Ibu dan Anak
- RS. Sari Asih
- RS. RSUD Tangsel

More info:
Candra
087780061353",Rumah,,,,,,,06 Jan 2021, 60 m², 60 m²,3,2,
Eagle Tree,"BSD, Tangerang ",-6.2820168,106.6681494,"BSD, Jalan Letnan Sutopo, BSD City, Serpong Utara, Tangerang Selatan, Banten, 15330, Indonesia",Rp. 890.000.000,"More info :
Sofyan
0878-7837-2925
0813-8306-2196


Rumah minimalis 2 lantai, yg berlokasi di Tangerang Selatan kawasan yg sedang berkembang pesat, akses dekat tol bsd dan stasiun kereta commuter line rawabuntu, lingkungan perumahan masih asri dan bebas banjir.


_*Fasilitas Sekitar:*_
*AEON Mall BSD City
*ICE BSD City
*Breeze BSD
*GIANT BSD, ITC BSD
*Eka Hospital
*Prasetya Mulia Building
*SWISS GERMAN UNIVERSITY
*Sekolah Santa Ursula
*Stasiun Kereta Rawabuntu
*Akses TOL BSD
*Living World
*ITI
*SMAN1 SERPONG
*Global Islamic School
*Universitas Pamulang & Al-Azhar
*SMA/SMP Stella Maris",Rumah,SHM - Sertifikat Hak Milik,Semi Furnished,Baru,,2,2200,29 Dec 2020, 65 m², 60 m²,2,2,1
Eagle Tree,"BSD City, Tangerang ",-6.30213665,106.64397834988091,"BSD City, Pagedangan, Tangerang, Banten, Indonesia",Rp. 890.000.000,"Akses terbaik dengan fasilitas terdekat

*Akses Jalan
- 3 menit jalan utama
- 5 menit Pintu Tol BSD 
- 5 menit Stasiun Kereta Api Rawabuntu 

* Rekreasi 
- Damai Indah Golf
- Ocean Park BSD

* Edukasi
- Prasetiya Mulya Business School
- Swiss German University
- Global Islamic School
- Insan Cendikia Mandani
- Al-azhar BSD
- Al-azhar Pamulang
- Santa Ursula BSD
- Unpam (Universitas Pamulang)

* Komersil
- ITC BSD / CARREFOUR
- Giant BSD
- Teras Kota
- The Breeze
- Living World Mall
- Summarecon Mall Serpong
- Pasar Modern BSD 
- Bintaro Jaya Xchange
- Pamulang Square

* Hospital
- RS. Eka Hosital
- RS. Hermina Serpong
- RS. Buah Hati
- RS. Ibu dan Anak
- RS. Sari Asih
- RS. RSUD Tangsel",Rumah,SHM - Sertifikat Hak Milik,,Baru,,2,2200,22 Dec 2020, 65 m², 60 m²,2,2,1
